"blue","green","red","nir","swir","ndwi","ndvi","evi","PSSRb1","barren_soil","savi","fecha","GloblaId"
2,8,3,150,59,-0.89873417721519,0.96078431372549,2.38636363636364,50,-1.05140186915888,1.36817269338061,"2020-02-11",1
2,9,3,156,59,-0.890909090909091,0.962264150943396,2.390625,52,-1.09090909090909,1.37042426675364,"2020-02-11",4
3,8,7,32,13,-0.6,0.641025641025641,1.19047619047619,4.57142857142857,-0.681818181818182,0.905447905042102,"2020-02-11",6
3,11,4,153,62,-0.865853658536585,0.949044585987261,2.39549839228296,38.25,-1.01351351351351,1.35155118530376,"2020-02-11",7
7,16,12,60,59,-0.578947368421053,0.666666666666667,1.49068322981366,5,0.072463768115942,0.94637433036947,"2020-02-11",9
2,8,7,42,35,-0.68,0.714285714285714,1.25,6,-0.0581395348837209,1.01116775916485,"2020-02-11",10
5,13,8,86,46,-0.737373737373737,0.829787234042553,2,10.75,-0.637931034482759,1.17956538314907,"2020-02-11",14
2,8,3,147,58,-0.896774193548387,0.96,2.3841059602649,49,-1.04761904761905,1.36697955167921,"2020-02-11",15
8,19,15,84,55,-0.631067961165049,0.696969696969697,1.5,5.6,-0.339506172839506,0.990988453956632,"2020-02-11",23
14,24,23,83,62,-0.551401869158878,0.566037735849057,1.28205128205128,3.60869565217391,-0.164835164835165,0.805051302288871,"2020-02-11",25
4,11,8,56,41,-0.671641791044776,0.75,1.6,7,-0.252293577981651,1.0638852672751,"2020-02-11",26
2,7,7,26,30,-0.575757575757576,0.575757575757576,0.87962962962963,3.71428571428571,0.346153846153846,0.811654900083762,"2020-02-11",27
0,2,3,10,7,-0.666666666666667,0.538461538461538,0.603448275862069,3.33333333333333,0,0.744414655942806,"2020-02-11",28
3,12,4,123,54,-0.822222222222222,0.937007874015748,2.37051792828685,30.75,-0.923913043478261,1.33355306526038,"2020-02-11",30
3,11,4,140,53,-0.854304635761589,0.944444444444444,2.3859649122807,35,-1.075,1.34467000858559,"2020-02-11",33
2,10,4,148,57,-0.873417721518987,0.947368421052632,2.27848101265823,37,-1.05450236966825,1.34904348282468,"2020-02-11",34
11,20,19,87,65,-0.626168224299065,0.641509433962264,1.42259414225941,4.57894736842105,-0.192307692307692,0.912391475927388,"2020-02-11",38
10,20,19,71,61,-0.56043956043956,0.577777777777778,1.17117117117117,3.73684210526316,-0.015527950310559,0.821161587119034,"2020-02-11",39
2,9,3,136,51,-0.875862068965517,0.956834532374101,2.375,45.3333333333333,-1.09375,1.36216541871073,"2020-02-11",45
2,9,4,123,48,-0.863636363636364,0.937007874015748,2.23684210526316,30.75,-1.03107344632768,1.33355306526038,"2020-02-11",46
3,6,9,15,10,-0.428571428571429,0.25,0.315789473684211,1.66666666666667,0.0675675675675676,0.350745046667758,"2020-02-11",49
2,9,3,150,56,-0.886792452830189,0.96078431372549,2.38636363636364,50,-1.10189573459716,1.36817269338061,"2020-02-11",52
10,17,18,78,70,-0.642105263157895,0.625,1.33928571428571,4.33333333333333,0,0.888538598747252,"2020-02-11",54
4,8,10,12,4,-0.2,0.0909090909090909,0.116279069767442,1.2,-0.166666666666667,0.127340823970037,"2020-02-11",55
7,18,17,79,58,-0.628865979381443,0.645833333333333,1.1969111969112,4.64705882352941,-0.170807453416149,0.918156552038827,"2020-02-11",57
3,12,4,141,63,-0.843137254901961,0.944827586206897,2.38675958188153,35.25,-0.912322274881517,1.34524300684875,"2020-02-11",60
4,9,10,40,21,-0.63265306122449,0.6,1.05633802816901,4,-0.433333333333333,0.84952803997779,"2020-02-11",61
3,12,4,145,62,-0.847133757961783,0.946308724832215,2.38983050847458,36.25,-0.957943925233645,1.34745830767995,"2020-02-11",62
5,13,8,110,68,-0.788617886178862,0.864406779661017,2.09876543209877,13.75,-0.510471204188482,1.22991184517175,"2020-02-11",64
2,10,4,148,56,-0.873417721518987,0.947368421052632,2.27848101265823,37,-1.07142857142857,1.34904348282468,"2020-02-11",65
4,11,7,85,43,-0.770833333333333,0.847826086956522,1.98979591836735,12.1428571428571,-0.701438848920863,1.20508936685853,"2020-02-11",66
2,10,3,152,57,-0.876543209876543,0.961290322580645,2.38782051282051,50.6666666666667,-1.0981308411215,1.36894253287696,"2020-02-11",69
4,12,7,86,44,-0.755102040816326,0.849462365591398,1.9949494949495,12.2857142857143,-0.691489361702128,1.20747527507814,"2020-02-11",70
2,11,3,157,60,-0.869047619047619,0.9625,2.39130434782609,52.3333333333333,-1.08108108108108,1.37078315506021,"2020-02-11",71
9,19,18,71,59,-0.577777777777778,0.595505617977528,1.17777777777778,3.94444444444444,-0.0477707006369427,0.846312117010332,"2020-02-11",72
8,14,16,41,56,-0.490909090909091,0.43859649122807,0.801282051282051,2.5625,0.475206611570248,0.621647976596782,"2020-02-11",73
2,9,3,99,48,-0.833333333333333,0.941176470588235,2.33009708737864,33,-0.822368421052632,1.33838403561526,"2020-02-11",74
3,11,5,125,57,-0.838235294117647,0.923076923076923,2.24719101123596,25,-0.868421052631579,1.31382831907259,"2020-02-11",75
6,13,10,68,47,-0.679012345679012,0.743589743589744,1.72619047619048,6.8,-0.324427480916031,1.05605141021064,"2020-02-11",76
3,11,5,136,54,-0.850340136054422,0.929078014184397,2.26643598615917,27.2,-1.01010101010101,1.32270837457929,"2020-02-11",77
4,14,8,102,45,-0.758620689655172,0.854545454545454,1.94214876033058,12.75,-0.833333333333333,1.21556127069222,"2020-02-11",78
4,13,7,91,50,-0.75,0.857142857142857,2.01923076923077,13,-0.625,1.21867761206161,"2020-02-11",79
3,12,7,87,44,-0.757575757575758,0.851063829787234,1.86046511627907,12.4285714285714,-0.691489361702128,1.20981064938366,"2020-02-11",80
3,9,4,133,54,-0.873239436619718,0.941605839416058,2.38007380073801,33.25,-1.00515463917526,1.34042553191489,"2020-02-11",81
3,12,5,149,66,-0.850931677018634,0.935064935064935,2.28571428571429,29.8,-0.908071748878924,1.33157199471598,"2020-02-11",82
2,9,3,150,60,-0.886792452830189,0.96078431372549,2.38636363636364,50,-1.03488372093023,1.36817269338061,"2020-02-11",83
2,9,3,154,58,-0.889570552147239,0.961783439490446,2.38924050632911,51.3333333333333,-1.09447004608295,1.36969281195213,"2020-02-11",85
4,14,4,173,72,-0.850267379679144,0.954802259887006,2.51488095238095,43.25,-0.99802371541502,1.36016863178303,"2020-02-11",86
4,12,8,86,42,-0.755102040816326,0.829787234042553,1.85714285714286,10.75,-0.714285714285714,1.17956538314907,"2020-02-11",88
8,19,14,88,54,-0.644859813084112,0.725490196078431,1.63716814159292,6.28571428571429,-0.426829268292683,1.03167102745343,"2020-02-11",89
2,9,4,100,40,-0.834862385321101,0.923076923076923,2.18181818181818,25,-0.993150684931507,1.31275136936454,"2020-02-11",92
7,16,12,101,60,-0.726495726495726,0.787610619469027,1.83127572016461,8.41666666666667,-0.5,1.12046408294248,"2020-02-11",93
4,8,8,35,29,-0.627906976744186,0.627906976744186,1.25,4.375,-0.0657894736842105,0.887814313346228,"2020-02-11",94
2,8,3,130,50,-0.884057971014493,0.954887218045113,2.36940298507463,43.3333333333333,-1.06756756756757,1.35920496447522,"2020-02-11",100
6,13,11,57,42,-0.628571428571429,0.676470588235294,1.45569620253165,5.18181818181818,-0.21551724137931,0.959957911965862,"2020-02-11",101
1,7,3,133,50,-0.9,0.955882352941177,2.24913494809689,44.3333333333333,-1.08288770053476,1.36071774122614,"2020-02-11",102
2,8,3,139,51,-0.891156462585034,0.957746478873239,2.37762237762238,46.3333333333333,-1.11538461538462,1.36355211054006,"2020-02-11",104
4,12,9,77,45,-0.730337078651685,0.790697674418605,1.66666666666667,8.55555555555556,-0.5,1.12352478363493,"2020-02-11",105
7,18,14,79,51,-0.628865979381443,0.698924731182796,1.45739910313901,5.64285714285714,-0.347682119205298,0.993492314937706,"2020-02-11",106
7,18,16,72,52,-0.6,0.636363636363636,1.20171673819742,4.5,-0.187074829931973,0.904328945582847,"2020-02-11",108
1,9,1,156,61,-0.890909090909091,0.987261146496815,2.491961414791,156,-1.08447488584475,1.40597606524888,"2020-02-11",109
7,19,18,74,54,-0.591397849462366,0.608695652173913,1.0727969348659,4.11111111111111,-0.147058823529412,0.865192365949712,"2020-02-11",110
2,12,3,149,61,-0.850931677018634,0.960526315789474,2.38562091503268,49.6666666666667,-1.01162790697674,1.36778019786391,"2020-02-11",112
5,14,8,92,48,-0.735849056603774,0.84,2.02898550724638,11.5,-0.669934640522876,1.1944079340423,"2020-02-11",113
3,13,4,164,67,-0.853107344632768,0.952380952380952,2.4024024024024,41,-1.00840336134454,1.35654404255824,"2020-02-11",115
6,15,9,104,47,-0.747899159663866,0.84070796460177,2.08333333333333,11.5555555555556,-0.813253012048193,1.19600098741052,"2020-02-11",117
3,15,5,139,61,-0.805194805194805,0.930555555555556,2.27118644067797,27.8,-0.913461538461538,1.3248954496358,"2020-02-11",118
3,6,9,8,32,-0.142857142857143,-0.0588235294117647,-0.0617283950617284,0.888888888888889,1.44230769230769,-0.0819371126922194,"2020-02-11",119
13,25,21,93,69,-0.576271186440678,0.631578947368421,1.46938775510204,4.42857142857143,-0.204081632653061,0.898521340930541,"2020-02-11",120
6,14,14,56,47,-0.6,0.6,1.09375,4,-0.0203252032520325,0.851593116374169,"2020-02-11",121
7,16,18,50,44,-0.515151515151515,0.470588235294118,0.751173708920188,2.77777777777778,0.105042016806723,0.667796808324078,"2020-02-11",123
7,21,15,84,52,-0.6,0.696969696969697,1.40816326530612,5.6,-0.379746835443038,0.990988453956632,"2020-02-11",126
8,22,15,86,51,-0.592592592592593,0.702970297029703,1.51709401709402,5.73333333333333,-0.4375,0.999605631581023,"2020-02-11",128
4,14,5,160,71,-0.839080459770115,0.939393939393939,2.40683229813665,32,-0.916666666666667,1.33798389631743,"2020-02-11",129
2,10,4,149,59,-0.874213836477987,0.947712418300654,2.27987421383648,37.25,-1.02803738317757,1.34955809891285,"2020-02-11",130
3,12,4,164,67,-0.863636363636364,0.952380952380952,2.4024024024024,41,-1.00840336134454,1.35654404255824,"2020-02-11",132
3,12,5,116,54,-0.8125,0.917355371900826,2.2289156626506,23.2,-0.842696629213483,1.3053661428995,"2020-02-11",134
3,12,4,137,56,-0.838926174496644,0.943262411347518,2.38351254480287,34.25,-1,1.34290239556523,"2020-02-11",136
5,17,8,116,69,-0.744360902255639,0.870967741935484,2.11764705882353,14.5,-0.555555555555556,1.23946378628604,"2020-02-11",140
5,18,5,154,75,-0.790697674418605,0.937106918238994,2.52542372881356,30.8,-0.826359832635983,1.33459618134832,"2020-02-11",143
2,9,3,132,52,-0.872340425531915,0.955555555555556,2.37132352941176,44,-1.04497354497354,1.36022092920223,"2020-02-11",144
5,13,8,74,40,-0.701149425287356,0.804878048780488,1.92982456140351,9.25,-0.610236220472441,1.14339787450866,"2020-02-11",149
10,16,20,39,61,-0.418181818181818,0.322033898305085,0.558823529411765,1.95,0.615384615384615,0.456552466850643,"2020-02-11",150
8,15,14,61,62,-0.605263157894737,0.626666666666667,1.36627906976744,4.35714285714286,0.120689655172414,0.889802195471178,"2020-02-11",151
2,10,3,151,58,-0.875776397515528,0.961038961038961,2.38709677419355,50.3333333333333,-1.07476635514019,1.36856010568032,"2020-02-11",153
5,13,7,91,58,-0.75,0.857142857142857,2.17616580310881,13,-0.481366459627329,1.21867761206161,"2020-02-11",159
4,11,4,157,67,-0.869047619047619,0.950310559006211,2.51644736842105,39.25,-0.969827586206897,1.35344549892212,"2020-02-11",163
6,18,9,105,64,-0.707317073170732,0.842105263157895,2.08695652173913,11.6666666666667,-0.516304347826087,1.19802845457406,"2020-02-11",164
4,15,8,89,49,-0.711538461538462,0.835051546391753,1.875,11.125,-0.6,1.18721517428255,"2020-02-11",165
8,17,17,62,57,-0.569620253164557,0.569620253164557,1.07142857142857,3.64705882352941,0.0694444444444444,0.809034597371204,"2020-02-11",166
6,14,12,78,49,-0.695652173913043,0.733333333333333,1.55660377358491,6.5,-0.396551724137931,1.04224355288185,"2020-02-11",168
6,14,10,74,58,-0.681818181818182,0.761904761904762,1.77777777777778,7.4,-0.202702702702703,1.08248448382053,"2020-02-11",169
4,13,4,171,73,-0.858695652173913,0.954285714285714,2.51506024096386,42.75,-0.972222222222222,1.35939530747657,"2020-02-11",170
