"blue","green","red","nir","swir","ndwi","ndvi","evi","PSSRb1","barren_soil","savi","fecha","GloblaId"
29,34,46,64,111,-0.306122448979592,0.163636363636364,0.364372469635628,1.39130434782609,0.64,0.23276705183468,"2019-11-08",1
25,31,44,64,111,-0.347368421052632,0.185185185185185,0.353356890459364,1.45454545454545,0.676229508196721,0.263400597631608,"2019-11-08",4
19,27,29,73,62,-0.46,0.431372549019608,1.04265402843602,2.51724137931034,-0.0136612021857923,0.613426016323662,"2019-11-08",6
25,32,45,68,107,-0.36,0.20353982300885,0.37953795379538,1.51111111111111,0.602040816326531,0.289558133794125,"2019-11-08",7
18,26,26,83,77,-0.522935779816514,0.522935779816514,1.35714285714286,3.19230769230769,0.0245098039215686,0.743831560478123,"2019-11-08",9
18,24,28,72,87,-0.5,0.44,1.0377358490566,2.57142857142857,0.304878048780488,0.625642251165014,"2019-11-08",10
25,30,37,60,102,-0.333333333333333,0.237113402061856,0.602094240837696,1.62162162162162,0.602678571428571,0.337110481586402,"2019-11-08",14
29,34,45,63,111,-0.298969072164948,0.166666666666667,0.386266094420601,1.4,0.645161290322581,0.237060537868447,"2019-11-08",15
20,26,29,77,95,-0.495145631067961,0.452830188679245,1.17647058823529,2.6551724137931,0.305429864253394,0.644041041831097,"2019-11-08",23
23,31,39,76,105,-0.420560747663551,0.321739130434783,0.667870036101083,1.94871794871795,0.462962962962963,0.457739889801435,"2019-11-08",25
19,25,28,65,74,-0.444444444444444,0.397849462365591,1.01092896174863,2.32142857142857,0.241935483870968,0.565526394656848,"2019-11-08",26
21,26,35,55,103,-0.358024691358025,0.222222222222222,0.460829493087558,1.57142857142857,0.724299065420561,0.315831379661167,"2019-11-08",27
31,38,47,67,68,-0.276190476190476,0.175438596491228,0.425531914893617,1.42553191489362,0.199530516431925,0.249589261369595,"2019-11-08",28
23,29,40,57,91,-0.325581395348837,0.175257731958763,0.338645418326693,1.425,0.604265402843602,0.249168616824732,"2019-11-08",30
23,27,35,52,88,-0.316455696202532,0.195402298850575,0.469613259668508,1.48571428571429,0.606060606060606,0.277668481493343,"2019-11-08",33
28,33,44,63,110,-0.3125,0.177570093457944,0.402542372881356,1.43181818181818,0.642857142857143,0.252559854041777,"2019-11-08",34
10,18,11,105,66,-0.707317073170732,0.810344827586207,2.42268041237113,9.54545454545454,-0.494791666666667,1.15291854193149,"2019-11-08",38
17,23,26,66,80,-0.48314606741573,0.434782608695652,1.04712041884817,2.53846153846154,0.304232804232804,0.617994547106937,"2019-11-08",39
28,34,47,68,110,-0.333333333333333,0.182608695652174,0.372340425531915,1.4468085106383,0.602766798418972,0.259798315833247,"2019-11-08",45
21,25,34,50,90,-0.333333333333333,0.19047619047619,0.41025641025641,1.47058823529412,0.67948717948718,0.270621120955133,"2019-11-08",46
22,29,31,73,70,-0.431372549019608,0.403846153846154,1.10526315789474,2.35483870967742,0.076530612244898,0.574328724096986,"2019-11-08",49
24,30,36,68,101,-0.387755102040816,0.307692307692308,0.761904761904762,1.88888888888889,0.491266375545852,0.437583789788179,"2019-11-08",52
