"blue","green","red","nir","swir","ndwi","ndvi","evi","PSSRb1","barren_soil","savi","fecha","GloblaId"
6888,8126,10649,14745,26109,-0.289405797735123,0.161297944396314,0.379540400296516,1.38463705512255,0.647574112448836,0.230329582536767,"2019-10-29",1
6842,8198,10813,15184,27905,-0.298776836883072,0.16813478478286,0.380113399192987,1.40423564228244,0.686981430264717,0.240092519921586,"2019-10-29",4
4024,5675,5865,16528,12674,-0.48880781876323,0.476175590586344,1.2376387018896,2.81807331628303,-0.128738072702157,0.679965747093299,"2019-10-29",6
5826,7622,10722,16358,26240,-0.364303586321935,0.208124076809453,0.38085198399827,1.52564819996269,0.624640719575288,0.297196484486877,"2019-10-29",7
4469,6757,6337,20827,19700,-0.510078306264501,0.533426594021499,1.4299812493832,3.28657093261796,0.0360878966746537,0.761721174471261,"2019-10-29",9
3408,4653,5538,14922,17780,-0.524597701149425,0.458651026392962,1.03846664600947,2.69447453954496,0.299414137533615,0.654939965087729,"2019-10-29",10
6016,6914,8965,13317,24359,-0.316494488656023,0.195314603716004,0.494815353829361,1.48544339096486,0.664251666445107,0.278903896828478,"2019-10-29",14
7071,8271,10630,14824,26456,-0.283741069495562,0.16476781645321,0.410010753739368,1.39454374412041,0.643893796307285,0.235284485669841,"2019-10-29",15
6567,7969,9804,16043,26443,-0.336248542395469,0.241381978566178,0.608908668579571,1.63637290901673,0.579242910783764,0.34468775771423,"2019-10-29",23
5878,7432,9673,16128,26103,-0.369100169779287,0.250184101391419,0.536450368991423,1.66732141011062,0.595773770378318,0.357256970428148,"2019-10-29",25
4129,5479,6075,13920,17341,-0.43512552193412,0.392348087021755,1.01077125260907,2.29135802469136,0.323586156999879,0.560261075681901,"2019-10-29",26
5295,6363,8572,12996,25899,-0.342631334263133,0.205118694362018,0.44747435923371,1.51609892673822,0.766650240703537,0.292903683105695,"2019-10-29",27
5426,7301,9018,14162,13854,-0.319666402646415,0.221915444348576,0.466347548592979,1.57041472610335,0.193358455016486,0.316889403422577,"2019-10-29",28
6239,7438,9673,13507,24097,-0.289758892337073,0.165401207937877,0.387217969176076,1.39636100485889,0.655131175723148,0.236188563903997,"2019-10-29",30
6108,7222,9457,13913,23815,-0.316583865625739,0.190671801454857,0.448361909361668,1.47118536533785,0.621610718105567,0.272274346023958,"2019-10-29",33
6573,8015,10682,15224,26915,-0.310211282757434,0.175326179263491,0.378254134812372,1.42520127316982,0.665050341785365,0.250361647696085,"2019-10-29",34
3119,5112,4220,20368,17734,-0.598744113029827,0.656743126728485,1.8105980759312,4.82654028436019,-0.0843401333597412,0.937812860586289,"2019-10-29",38
4240,5590,6475,14464,19477,-0.442505235863169,0.381536845121544,0.92830583313967,2.23382239382239,0.405768541741311,0.544823478463691,"2019-10-29",39
6960,8310,11193,15755,27879,-0.309370455017661,0.169289001039038,0.371329035618936,1.40757616367372,0.66183015844757,0.241740854049075,"2019-10-29",45
5964,7045,9168,13487,24995,-0.313754139879213,0.190642242330611,0.454325507026845,1.47109511343805,0.686014846868355,0.272231979020657,"2019-10-29",46
4325,5433,5918,13697,13258,-0.431991636173549,0.396584246749936,1.15976384291976,2.31446434606286,0.0775579332222163,0.566309947455646,"2019-10-29",49
5970,7202,9005,14942,25165,-0.349530346820809,0.24792249551092,0.613377138606496,1.65930038867296,0.601739225155223,0.354026996135034,"2019-10-29",52
2838,4063,4168,14103,12668,-0.552680832324122,0.543757867659132,1.39325180905368,3.38363723608445,-0.00777156052935429,0.776468046175701,"2019-10-29",54
4758,5911,6894,11370,11613,-0.315896070829234,0.245072273324573,0.656304985337243,1.64926022628373,0.171719359029883,0.349955005434608,"2019-10-29",55
7497,8952,11220,17052,27551,-0.311490539916936,0.206281833616299,0.518022419214439,1.51978609625668,0.561512950094757,0.294565999071604,"2019-10-29",57
2032,3349,2313,20519,9752,-0.719373219373219,0.797389628591451,2.37576991335212,8.87116299178556,-0.757308758955396,1.13865104490858,"2019-10-29",60
3958,5197,5321,13900,12760,-0.455726030266534,0.446334738046928,1.32867674389791,2.61229092275888,0.0155123960043407,0.637351813819452,"2019-10-29",61
2117,3303,2379,19759,9797,-0.713554765414968,0.785075435902069,2.39308236719632,8.30559058427911,-0.712146129449078,1.12106604859207,"2019-10-29",62
2281,3355,3002,16410,12019,-0.660511004300531,0.690706779311766,1.93583783315527,5.46635576282478,-0.272158281917418,0.986307534534062,"2019-10-29",64
5485,6848,9201,14418,24412,-0.355967271701307,0.220881493712689,0.457832382623958,1.56700358656668,0.640462665371104,0.315413057420358,"2019-10-29",65
6468,8113,11456,17065,26764,-0.355548494717611,0.196662108621717,0.376018985305159,1.4896124301676,0.594586497821968,0.280829276851075,"2019-10-29",66
6848,8244,10820,15617,27944,-0.308997946439797,0.181450240193668,0.411011721159778,1.44334565619224,0.665493475313985,0.259106748205612,"2019-10-29",69
6455,8048,11495,16666,26961,-0.348709233632759,0.183622740669721,0.347284718397829,1.44984775989561,0.6225944752099,0.262209288534658,"2019-10-29",70
7412,8873,11718,16358,28698,-0.296658872022512,0.165265707365722,0.373266402805934,1.39597200887523,0.648350107500078,0.235995832518296,"2019-10-29",71
5466,6632,8021,14162,23304,-0.362123689525825,0.276833611323987,0.720977740208509,1.76561525994265,0.573911251545542,0.395310769823311,"2019-10-29",72
2956,3971,4227,11351,14962,-0.481660357655659,0.457311593272564,1.2245599559956,2.68535604447599,0.364371865297349,0.653023013618576,"2019-10-29",73
4961,6278,9149,13736,22406,-0.372639152593185,0.200436967445925,0.364933887059048,1.50136626953765,0.639676032794715,0.286218636592682,"2019-10-29",74
