"blue","green","red","nir","swir","ndwi","ndvi","evi","PSSRb1","barren_soil","savi","fecha","GloblaId"
2,10,4,129,54,-0.856115107913669,0.93984962406015,2.24820143884892,32.25,-0.965608465608466,1.33780016188506,"2020-03-02",1
3,15,5,133,52,-0.797297297297297,0.927536231884058,2.26148409893993,26.6,-1.02331606217617,1.32042650330858,"2020-03-02",4
3,7,7,32,12,-0.641025641025641,0.641025641025641,1.19047619047619,4.57142857142857,-0.740740740740741,0.905447905042102,"2020-03-02",6
4,13,5,131,58,-0.819444444444444,0.926470588235294,2.38636363636364,26.2,-0.909090909090909,1.31884950303457,"2020-03-02",7
5,15,9,71,52,-0.651162790697674,0.775,1.75141242937853,7.88888888888889,-0.273722627737226,1.1008106629532,"2020-03-02",9
5,12,13,49,58,-0.60655737704918,0.580645161290323,0.994475138121547,3.76923076923077,0.34,0.82347664509515,"2020-03-02",10
7,15,16,65,58,-0.625,0.604938271604938,1.11872146118721,4.0625,0.0342465753424658,0.859311293412585,"2020-03-02",14
2,10,4,125,53,-0.851851851851852,0.937984496124031,2.24074074074074,31.25,-0.951086956521739,1.33501251661155,"2020-03-02",15
9,17,26,53,73,-0.514285714285714,0.341772151898734,0.473684210526316,2.03846153846154,0.574534161490683,0.485420758422722,"2020-03-02",23
15,26,26,89,76,-0.547826086956522,0.547826086956522,1.17977528089888,3.42307692307692,-0.0242718446601942,0.77939494749974,"2020-03-02",25
6,14,11,65,46,-0.645569620253165,0.710526315789474,1.55172413793103,5.90909090909091,-0.2734375,1.00894959962317,"2020-03-02",26
5,12,12,36,48,-0.5,0.5,0.839160839160839,3,0.47029702970297,0.707689766250929,"2020-03-02",27
0,2,3,10,7,-0.666666666666667,0.538461538461538,0.603448275862069,3.33333333333333,0,0.744414655942806,"2020-03-02",28
3,11,5,122,52,-0.834586466165414,0.921259842519685,2.24137931034483,24.4,-0.934065934065934,1.31114040870138,"2020-03-02",30
