2,1
3,3
5,3
8,9
11,10
12,10
13,3
16,3
17,3
18,11
19,3
20,11
21,1
22,1
24,1
29,10
31,10
32,10
35,1
36,9
37,1
40,9
47,1
48,1
50,10
51,9
53,10
56,1
58,1
59,1
63,1
67,10
68,3
84,1
87,1
90,1
91,1
95,1
96,1
97,9
98,1
99,9
103,3
107,1
111,3
114,3
116,1
122,2
124,2
125,3
127,1
131,2
133,2
135,2
137,2
138,3
139,2
141,1
142,2
145,2
146,3
147,2
148,3
152,10
154,1
155,2
156,1
157,2
158,3
160,3
161,1
162,3
167,10
171,2
178,1
180,1
182,1
184,1
190,11
192,9
193,9
194,10
204,3
206,3
208,10
210,10
211,3
216,9
218,1
223,10
225,1
240,9
241,9
243,2
244,3
245,2
247,2
248,10
250,3
252,9
253,9
254,3
255,1
257,2
264,9
269,1
270,2
272,1
273,2
275,10
277,2
279,2
280,3
282,1
283,2
288,9
289,1
290,2
291,1
294,3
296,9
299,10
300,3
302,3
304,3
305,2
307,9
311,1
312,1
313,3
314,9
315,2
317,1
319,9
320,3
324,10
325,10
326,10
332,1
334,2
339,3
341,1
343,1
344,9
351,9
352,1
354,1
359,1
363,9
365,3
369,2
376,3
380,3
381,3
383,1
384,1
385,3
387,1
389,1
390,1
392,1
393,1
395,1
397,1
398,1
403,1
405,1
406,1
408,2
410,1
412,2
418,1
426,1
428,2
431,1
434,2
445,1
448,3
451,9
452,2
453,1
454,1
456,1
459,9
460,1
461,9
462,2
464,9
465,9
467,1
470,2
471,1
474,2
476,1
482,1
484,9
485,1
486,9
489,1
491,1
492,1
493,1
496,1
497,1
498,10
499,9
501,1
502,1
505,2
506,1
507,1
508,10
515,1
517,9
521,10
522,9
524,2
526,1
527,1
530,1
531,1
533,2
534,2
535,1
537,2
538,2
545,3
549,3
552,3
553,10
556,10
558,1
560,3
563,10
565,10
567,10
569,1
570,1
575,1
589,3
590,1
606,1
619,9
623,1
632,3
634,1
635,1
639,9
641,9
643,10
652,3
656,9
657,1
658,9
659,9
664,1
667,1
673,1
684,3
686,1
687,1
690,1
692,1
695,9
697,11
699,10
702,3
704,2
705,1
709,1
710,9
714,1
715,1
716,1
719,3
722,3
725,9
726,9
727,3
728,1
731,1
732,1
733,9
736,11
739,2
741,9
745,3
748,10
750,2
753,2
757,1
763,2
766,1
768,3
774,10
776,3
779,2
782,3
785,1
797,2
798,1
801,2
802,3
803,9
804,9
805,2
811,1
813,3
816,1
823,1
824,2
827,1
829,1
833,1
834,2
842,1
845,1
847,1
850,1
851,3
852,1
855,9
856,3
862,2
872,3
874,1
875,10
878,10
881,1
883,2
884,9
887,1
888,1
889,1
890,1
894,1
896,1
897,1
898,3
899,1
907,1
910,9
912,9
913,1
914,1
917,1
918,1
925,10
926,11
927,11
928,1
930,1
931,1
934,1
939,10
940,3
941,1
942,1
946,9
954,9
957,9
958,1
959,9
962,1
965,1
968,1
974,1
975,1
978,3
979,1
982,3
983,1
986,1
989,1
994,1
997,1
999,9
1001,9
1004,1
1005,1
1007,9
1008,1
1009,3
1011,3
1014,1
1016,1
1017,1
1018,1
1019,1
1020,9
1022,1
1025,10
1028,9
1031,1
1037,10
1038,9
1040,9
1041,10
1042,10
1048,3
1049,10
1050,3
1051,10
1053,9
1054,9
1056,3
1058,9
1059,3
1075,1
1076,9
1077,1
1078,3
1079,1
1080,1
1082,9
1085,1
1093,1
1094,10
1097,3
1102,9
1108,9
1110,2
1112,24
1118,2
1121,3
1125,9
1127,11
1132,3
1134,1
1138,2
1140,10
1141,10
1145,2
1147,1
1149,1
1157,9
1160,1
1162,1
1164,9
1167,3
1169,2
1170,1
1171,3
1173,9
1174,3
1175,9
1177,3
1178,9
1180,2
1182,11
1183,3
1184,3
1186,9
1187,2
1189,1
1192,3
1194,1
1197,9
1199,2
1200,9
1201,1
1202,9
1204,2
1209,9
1214,10
1215,24
1218,9
1221,3
1222,3
1223,1
1226,3
1231,2
1234,10
1237,1
1238,10
1239,10
1241,3
1243,1
1245,1
1246,24
1247,3
1249,10
1251,10
1252,3
1257,2
1258,10
1263,2
1264,1
1265,3
1273,3
1277,1
1283,9
1286,1
1288,3
1290,9
1296,9
1297,3
1298,1
1300,1
1303,1
1304,1
1309,9
1310,9
1311,9
1313,1
1316,3
1318,9
1320,2
1328,9
1330,1
1332,1
1335,2
1336,3
1337,1
1338,3
1339,3
1342,9
1346,2
1347,1
1352,9
1353,1
1357,9
1358,2
1362,1
1363,1
1364,1
1366,9
1368,9
1369,9
1370,9
1371,1
1378,3
1380,2
1388,1
1392,2
1396,1
1400,1
1407,1
1413,1
1415,1
1420,1
1422,1
1425,1
1426,2
1428,10
1431,10
1432,2
1434,1
1435,9
1436,2
1438,9
1443,11
1445,24
1450,24
1454,1
